"Task Type","Task ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up","Assigned Tech (labels)","CONTRACTED (checkbox)","DELIVERED (checkbox)","STOCK # (short text)"
"Task","868egcwjf","Mercedes-Benz Of Wilsonville / Ivan Kulia","Closed","ryano@slatebuilt.com
Task Creation Email Template
Task Details:

  *
Name: Mercedes-Benz Of Wilsonville / Ivan Kulia
  *
Status: Scheduled
  *
SO#: S-ORD101072
  *
VIN#: ST210384
  *
Assigned Tech:
  *
Time Estimate: 6
  *
Start Date:
  *
Due Date: 6/27/2025
  *
Priority: Normal
  *
Sales Person: Nichole Lara
  *
Comments: Van is here



[cid:1abedeec-abd7-4c5b-9817-647dec1f6bbe]
Ryan Ouellette
Chief Strategy Officer
503-454-3203
503-799-0521
ryano@slatebuilt.com<mailto:ryano@slatebuilt.com>
slatebuilt.com<http://slatebuilt.com>

[cid:ff0b833b-a964-4ccb-a27e-91a3fbbbdadd]<https://www.instagram.com/slatebuilt/>[cid:e5c9e9f7-1d30-40d8-bedc-c0554bdf5577]<https://www.facebook.com/slatebuilt>



","[]","HIGH","A/C is on order S-ORD101119  ",3,0,"Friday, July 18th 2025","Monday, June 30th 2025","Tuesday, June 24th 2025, 8:56:51 am -07:00","Wednesday, July 16th 2025, 4:48:01 pm -07:00","Wednesday, July 16th 2025, 4:44:49 pm -07:00","Wednesday, July 16th 2025, 4:44:49 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","1d 7h","1d 7h",,0,"[Gary]","","",""
"Task","868egefzr","Mercedes Benz of Seattle / Kyle Smurdon","Closed","
","[]","NORMAL","Smart Floor waiting on parts  ",6,0,"Monday, August 4th 2025","Friday, August 1st 2025","Tuesday, June 24th 2025, 10:09:27 am -07:00","Tuesday, August 12th 2025, 12:14:50 pm -07:00","Tuesday, August 12th 2025, 12:14:50 pm -07:00","Wednesday, August 6th 2025, 11:44:15 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3d 2h","3d 2h",,0,"[Gary]","","",""
"Task","868eh5xn3","Mercedes Benz of Wilsonville","Closed","
","[]","NORMAL","Fixed solid partition.  Contact Tommy 971-832-2414 when completed.  ",1,0,"Thursday, June 26th 2025","Thursday, June 26th 2025","Wednesday, June 25th 2025, 3:00:23 pm -07:00","Monday, June 30th 2025, 4:23:40 pm -07:00","Monday, June 30th 2025, 11:34:51 am -07:00","Monday, June 30th 2025, 11:34:51 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h 30m","2h 30m",,0,"","","",""
"Task","868eh6419","Mercedes-Benz of Seattle / Junior Segura","Closed","
","[]","HIGH","Silver Gray Bedrock - Galley/Suspension/Brakes/etc  ",1,0,"Thursday, July 3rd 2025","","Wednesday, June 25th 2025, 3:10:23 pm -07:00","Tuesday, July 15th 2025, 10:35:18 am -07:00","Tuesday, July 15th 2025, 10:35:18 am -07:00","Tuesday, July 15th 2025, 10:35:18 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","[rvia]","[Schedule]","[]","","","","","","",,0,"","","",""
"Task","868eh65va","Mercedes-Benz of Seattle / DeWayne Simpson","Closed","
","[]","HIGH","Aqua Green Bedrock - Galley/Suspension/Brakes/etc  ",1,0,"Friday, June 27th 2025","","Wednesday, June 25th 2025, 3:13:50 pm -07:00","Wednesday, July 2nd 2025, 1:49:22 pm -07:00","Wednesday, July 2nd 2025, 1:49:22 pm -07:00","Wednesday, July 2nd 2025, 1:49:22 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","[rvia]","[Schedule]","[]","","","","","","",,0,"","","",""
"Task","868eh6yaa","Mercedes-Benz of Wilsonville / HELP Group","Closed","
","[]","NORMAL","Fixed solid swing door partition.  Contact Nichole @503-305-1185 when completed  ",1,0,"Thursday, June 26th 2025","Thursday, June 26th 2025","Wednesday, June 25th 2025, 4:26:17 pm -07:00","Monday, June 30th 2025, 8:39:36 am -07:00","Monday, June 30th 2025, 8:39:17 am -07:00","Monday, June 30th 2025, 8:39:17 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h 30m","2h 30m",,0,"","","",""
"Task","868ek800d","Mercedes-Benz of Wilsonville / Tressie Word","Closed","
","[]","NORMAL","Combo slider windows -  The customer would like it sooner if possible.  ",3,0,"Thursday, July 10th 2025","Wednesday, July 9th 2025","Monday, June 30th 2025, 3:59:18 pm -07:00","Thursday, July 10th 2025, 9:56:19 am -07:00","Thursday, July 10th 2025, 9:56:19 am -07:00","Thursday, July 10th 2025, 9:55:48 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h","4h",,0,"","","",""
"Task","868ek8c0h","Mercedes-Benz of Wilsonville / ReSys, Inc.","Closed","
","[]","NORMAL","Partition/shelf   ",2,0,"Monday, July 14th 2025","Friday, July 11th 2025","Monday, June 30th 2025, 4:36:40 pm -07:00","Friday, July 11th 2025, 10:57:53 am -07:00","Friday, July 11th 2025, 10:57:53 am -07:00","Friday, July 11th 2025, 10:57:53 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h","4h",,0,"","","",""
"Task","868ek8c63","Mercedes-Benz of Wilsonville / Justin Oldfield","Closed","
","[]","NORMAL","Flares are painted and here.  ",6,0,"","","Monday, June 30th 2025, 4:37:03 pm -07:00","Friday, August 1st 2025, 2:13:42 pm -07:00","Friday, August 1st 2025, 2:13:42 pm -07:00","Tuesday, July 29th 2025, 10:33:30 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2d 2h","2d 2h",,0,"[Gary]","","",""
"Task","868emqvww","Junior Segura","Closed","
","[]","HIGH","The customer is not getting a hitch now, and is getting the Backwoods roof rack and mattress.  ",1,0,"Tuesday, July 8th 2025","Thursday, July 3rd 2025","Thursday, July 3rd 2025, 9:04:30 am -07:00","Tuesday, July 15th 2025, 10:35:12 am -07:00","Tuesday, July 15th 2025, 10:35:12 am -07:00","Tuesday, July 15th 2025, 10:35:12 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h","4h",,0,"","","",""
"Task","868emr8cp","Mark Peluschenko","Closed","
","[]","NORMAL","Fan install - Mark in parts is bringing his van in on Monday.  He is providing the fan.  ",1,0,"Thursday, July 10th 2025","Tuesday, July 8th 2025","Thursday, July 3rd 2025, 9:29:12 am -07:00","Thursday, July 10th 2025, 11:03:50 am -07:00","Thursday, July 10th 2025, 11:03:50 am -07:00","Thursday, July 10th 2025, 11:03:50 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3h","3h",,0,"","","",""
"Task","868emu9wc","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","LR shelf/partition  ",4,0,"Thursday, July 31st 2025","Wednesday, July 30th 2025","Thursday, July 3rd 2025, 11:12:29 am -07:00","Tuesday, August 5th 2025, 9:32:52 am -07:00","Tuesday, August 5th 2025, 9:32:52 am -07:00","Thursday, July 31st 2025, 5:58:42 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h 36m","4h 36m",,0,"[Gary]","","",""
"Task","868emua20","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","LR shelf/partition - Waiting on van  ",3,0,"","","Thursday, July 3rd 2025, 11:12:44 am -07:00","Wednesday, August 20th 2025, 8:53:01 am -07:00","Wednesday, August 20th 2025, 8:53:01 am -07:00","Friday, August 15th 2025, 8:50:54 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h 36m","4h 36m",,0,"[Jake , Seth]","","",""
"Task","868emua4h","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL"," -waiting on the partition parts - LR shelf/partition  ",4,0,"","","Thursday, July 3rd 2025, 11:12:51 am -07:00","Tuesday, August 12th 2025, 12:14:57 pm -07:00","Tuesday, August 12th 2025, 12:14:57 pm -07:00","Friday, August 8th 2025, 4:02:50 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h 36m","4h 36m",,0,"[Gary]","","",""
"Task","868emua7b","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","HR Shelf - Waiting on van  ",2,0,"","","Thursday, July 3rd 2025, 11:13:00 am -07:00","Tuesday, August 12th 2025, 12:15:03 pm -07:00","Tuesday, August 12th 2025, 12:15:03 pm -07:00","Thursday, August 7th 2025, 4:11:18 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h","2h",,0,"[Jake , Seth]","","",""
"Task","868emuaag","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","HR Shelf - Waiting on van  ",2,0,"Thursday, July 31st 2025","Wednesday, July 30th 2025","Thursday, July 3rd 2025, 11:13:06 am -07:00","Thursday, July 31st 2025, 10:40:10 am -07:00","Thursday, July 31st 2025, 10:40:10 am -07:00","Thursday, July 31st 2025, 10:40:10 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h","2h",,0,"[Gary]","","",""
"Task","868emuacp","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","HR Shelf - Waiting on van  ",2,0,"","","Thursday, July 3rd 2025, 11:13:12 am -07:00","Friday, July 25th 2025, 3:08:50 pm -07:00","Friday, July 25th 2025, 3:08:50 pm -07:00","Friday, July 25th 2025, 3:08:50 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h","2h",,0,"[Seth, Jake ]","","",""
"Task","868emuafy","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","HR Shelf - Wating on van  ",2,0,"","","Thursday, July 3rd 2025, 11:13:18 am -07:00","Thursday, July 31st 2025, 10:32:18 am -07:00","Thursday, July 31st 2025, 10:32:18 am -07:00","Wednesday, July 30th 2025, 10:55:57 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h","2h",,0,"[Jake ]","","",""
"Task","868emuanf","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","HR Shelf - Waiting on van  ",2,0,"","","Thursday, July 3rd 2025, 11:13:37 am -07:00","Thursday, August 14th 2025, 9:32:37 am -07:00","Thursday, August 14th 2025, 9:32:37 am -07:00","Tuesday, August 12th 2025, 12:15:57 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h","2h",,0,"","","",""
"Task","868emuapk","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","HR Shelf/partition - Waiting on van  ",2,0,"","Tuesday, September 2nd 2025","Thursday, July 3rd 2025, 11:13:41 am -07:00","Wednesday, September 10th 2025, 8:46:41 am -07:00","Wednesday, September 10th 2025, 8:46:41 am -07:00","Thursday, September 4th 2025, 4:30:16 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h 30m","4h 30m",,0,"[Seth]","","",""
"Task","868emuarh","Mercedes-Benz of Wilsonville / CVP 7/25","Closed","
","[]","NORMAL","HR Shelf/partition - Waiting on van  ",2,0,"","","Thursday, July 3rd 2025, 11:13:48 am -07:00","Wednesday, August 6th 2025, 11:44:41 am -07:00","Wednesday, August 6th 2025, 11:44:41 am -07:00","Wednesday, August 6th 2025, 11:44:41 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h 30m","4h 30m",,0,"[Jake ]","","",""
"Task","868ep8cza","Merceedes-Benz of Wilsonville / Dashzeveg","Closed","
","[]","NORMAL","Mobiframe Swivels  ",1,0,"Friday, July 11th 2025","Thursday, July 10th 2025","Tuesday, July 8th 2025, 8:16:47 am -07:00","Thursday, July 10th 2025, 4:02:41 pm -07:00","Thursday, July 10th 2025, 4:02:41 pm -07:00","Thursday, July 10th 2025, 4:02:41 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3h 30m","3h 30m",,0,"","","",""
"Task","868ep8fze","Mercedes-Benz of Wilsonville / Dashzeveg","Closed","
","[]","NORMAL","Swivels  ",3,0,"Friday, July 11th 2025","Thursday, July 10th 2025","Tuesday, July 8th 2025, 8:20:24 am -07:00","Thursday, July 10th 2025, 10:00:55 am -07:00","Thursday, July 10th 2025, 9:55:09 am -07:00","Thursday, July 10th 2025, 9:55:09 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3h 30m","3h 30m",,0,"","","",""
"Task","868ep8hqn","Mercedes-Benz of Wilsonville / Diversified Abilities","Closed","
","[]","NORMAL","Folding seat - Van is here   ",4,0,"Tuesday, July 15th 2025","Monday, July 14th 2025","Tuesday, July 8th 2025, 8:24:00 am -07:00","Tuesday, July 15th 2025, 10:35:06 am -07:00","Tuesday, July 15th 2025, 10:35:06 am -07:00","Tuesday, July 15th 2025, 10:35:06 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h","4h",,0,"","","",""
"Task","868ep989h","Mercedes-Benz of Wilsonville / Popov","Closed","
","[]","HIGH","Westcan wall panels   ",3,0,"Friday, July 11th 2025","Thursday, July 10th 2025","Tuesday, July 8th 2025, 8:52:20 am -07:00","Thursday, July 10th 2025, 11:03:41 am -07:00","Thursday, July 10th 2025, 11:03:41 am -07:00","Thursday, July 10th 2025, 11:03:41 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3h","3h",,0,"","","",""
"Task","868ep9fp3","Mercedes-Benz of Wilsonville / Terna","Closed","
","[]","NORMAL","Window installation customer will be in around noon  ",3,0,"Tuesday, July 22nd 2025, 2:00:00 pm -07:00","Monday, July 21st 2025, 1:13:00 pm -07:00","Tuesday, July 8th 2025, 9:02:18 am -07:00","Thursday, July 24th 2025, 9:57:13 am -07:00","Thursday, July 24th 2025, 9:57:13 am -07:00","Tuesday, July 22nd 2025, 8:33:18 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h","2h",,0,"[Jake , Seth]","","",""
"Task","868epaepu","4P Renovations","Closed","
","[]","NORMAL","Modify shelf  ",1,0,"Tuesday, July 8th 2025","Tuesday, July 8th 2025","Tuesday, July 8th 2025, 9:53:25 am -07:00","Tuesday, July 8th 2025, 2:01:17 pm -07:00","Tuesday, July 8th 2025, 2:01:17 pm -07:00","Tuesday, July 8th 2025, 2:01:17 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","1h 30m","1h 30m",,0,"","","",""
"Task","868epc7he","Mercedes-Benz of Wilsonville / Marty","Closed","
","[Ryan Ouellette]","NORMAL","Combo slider windows  ",1,0,"Friday, July 11th 2025","Thursday, July 10th 2025","Tuesday, July 8th 2025, 11:12:03 am -07:00","Friday, July 11th 2025, 4:00:11 pm -07:00","Friday, July 11th 2025, 4:00:11 pm -07:00","Friday, July 11th 2025, 4:00:11 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","4h","4h",,0,"","","",""
"Task","868epj3qz","Todd Conger","Closed","
","[]","NORMAL","Windows, floor w/ ltrack, hitch, roof rails.  Customer is dropping van off on the 16th.  ",1,0,"Wednesday, July 23rd 2025","Wednesday, July 16th 2025","Tuesday, July 8th 2025, 4:18:22 pm -07:00","Thursday, July 24th 2025, 8:16:57 am -07:00","Thursday, July 24th 2025, 8:16:57 am -07:00","Thursday, July 24th 2025, 8:16:57 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","1d 7h","1d 7h",,0,"[Jake , Seth]","","",""
"Task","868eqwc2t","North Pacific Construction","Closed","
","[]","none","Reinstall old shelves and a new 48""  ",1,0,"Friday, July 11th 2025","Friday, July 11th 2025","Friday, July 11th 2025, 9:39:07 am -07:00","Friday, July 11th 2025, 3:59:46 pm -07:00","Friday, July 11th 2025, 3:59:46 pm -07:00","Friday, July 11th 2025, 3:59:46 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h 30m","2h 30m",,0,"","","",""
"Task","868eqz2t2","Resys Inc","Closed","
","[]","none","Ltrack high and low and on slider door  ",1,0,"Friday, July 11th 2025","","Friday, July 11th 2025, 12:16:46 pm -07:00","Wednesday, July 16th 2025, 4:41:32 pm -07:00","Wednesday, July 16th 2025, 4:41:32 pm -07:00","Wednesday, July 16th 2025, 4:41:32 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3h","3h",,0,"","","",""
"Task","868erkx7y","Mercedes-Benz of Wilsonville / Bullfrog Painting","Closed","
","[]","none","",0,0,"Monday, July 14th 2025","Monday, July 14th 2025","Monday, July 14th 2025, 8:46:58 am -07:00","Tuesday, July 15th 2025, 10:35:08 am -07:00","Tuesday, July 15th 2025, 10:35:08 am -07:00","Tuesday, July 15th 2025, 10:35:08 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3h 6m","3h 6m",,0,"","","",""
"Task","868etwr14","Ivan Kulia","Closed","
","[]","HIGH","Install AC unit  ",1,0,"Friday, July 18th 2025","Wednesday, July 16th 2025","Wednesday, July 16th 2025, 10:57:33 am -07:00","Friday, July 18th 2025, 3:52:17 pm -07:00","Friday, July 18th 2025, 3:52:17 pm -07:00","Friday, July 18th 2025, 3:52:17 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","5h","5h",,0,"[Gary]","","",""
"Task","868eu2fjb","Fred Winter","Closed","
","[]","NORMAL","17"" wheels/tires (not BFG's)/Mondos  ",1,0,"Wednesday, August 27th 2025","Wednesday, August 27th 2025","Wednesday, July 16th 2025, 4:52:24 pm -07:00","Thursday, August 28th 2025, 4:20:00 pm -07:00","Thursday, August 28th 2025, 4:20:00 pm -07:00","Wednesday, August 27th 2025, 10:17:04 am -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","2h 30m","2h 30m",,0,"[Jake ]","","",""
"Task","868eu2kxx","Mercedes-Benz of Wilsonville/ suspension Adjustments","Closed","
","[]","HIGH","Install new rear Heim joint, set link to 360mm. Reinstall front sway bar link mounts. secure upper Heim joint with new washers/nylocs   ",1,0,"Thursday, July 17th 2025","Thursday, July 17th 2025","Wednesday, July 16th 2025, 5:15:55 pm -07:00","Friday, July 18th 2025, 3:52:25 pm -07:00","Friday, July 18th 2025, 3:52:25 pm -07:00","Friday, July 18th 2025, 3:52:25 pm -07:00","Dan Zambrano","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","","",,0,"[Jake ]","","",""
"Task","868evnzw6","Mercedes Benz of Anchorage / 15 Passenger 170EXT DRW","Closed","
","[]","none","Will have parts in 3 weeks as of 7/22  ",1,0,"","","Monday, July 21st 2025, 3:29:56 pm -07:00","Monday, September 29th 2025, 8:39:25 am -07:00","Monday, September 29th 2025, 8:39:25 am -07:00","Tuesday, September 9th 2025, 12:46:50 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3d 6h","3d 6h",,0,"[Tim, Jake , Seth]","","",""
"Task","868evp161","Mercedes Benz of Anchorage / 15 Passenger 170EXT DRW","Closed","
","[]","none","Will have parts in 3 weeks  ",1,0,"","","Monday, July 21st 2025, 3:34:03 pm -07:00","Monday, September 29th 2025, 8:38:42 am -07:00","Monday, September 29th 2025, 8:38:42 am -07:00","Tuesday, September 9th 2025, 12:46:43 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","3d 6h","3d 6h",,0,"[Tim, Jake , Seth]","","",""
"Task","868ew0dba","Mercedes Benz of Wilsonville / Pig 'N Pancake","Closed","
","[]","NORMAL","Westcan walls and ceiling w/ insulation, fixed slider window  ",1,0,"Thursday, July 24th 2025","Tuesday, July 22nd 2025","Tuesday, July 22nd 2025, 8:41:58 am -07:00","Thursday, July 24th 2025, 4:19:19 pm -07:00","Thursday, July 24th 2025, 4:19:19 pm -07:00","Thursday, July 24th 2025, 4:19:19 pm -07:00","Ryan Ouellette","SLATE SCHEDULER","hidden","Schedule","[]","[]","","[Schedule]","[]","","","","","6h","6h",,0,"[Seth, Gary]","","",""
